PDBID;PD(K+R+HIP);PA(D+E);PD(T+S+Y+DH+EH);PA(N+Q+T+S+DH+EH);PD(LYN+N+Q);PA(LYN);PD(W+H);PA(Y+H);PD(Amide-NH);PA(Amide-O);PP(Non-Arom);PP(Arom);PMR(Non-Arom);PMR(Arom);Volume;D;A;P;MR;W;rot_bonds;MASS;Expt_BE;Atom_Efficiency;No. of atoms
4y3y;0.0;1.11;0.555;0.555;0.0;0;0.0;0.0;1.665;0.832;0.0;0.0;0.0;0.0;1350.84;4;1;-0.365;33.217;68.755;0.857;118.0;-3.2;-0.4;8
3g2z;0.915;0.0;1.602;1.602;0.915;0;0.0;0.229;0.915;1.144;0.0;0.0;5.194;0.0;505.83;2;5;0.249;44.741;195.987;0.0;179.0;-3.213;-0.247154;13
3t0d;0.259;2.071;0.259;0.777;0.777;0;1.036;0.518;0.259;0.259;0.0;0.0;0.0;0.0;1046.67;4;6;-3.013;34.986;155.141;0.0;178.0;-3.227;-0.268917;12
6rnt;0.787;0.315;0.472;0.472;0.63;0;0.315;0.63;1.26;1.575;0.0;0.153;0.0;5.969;287.72;4;12;-3.169;72.681;804.227;0.0;345.0;-3.227;-0.140304;23
3f6e;0.0;0.936;1.17;1.521;1.287;0;0.234;0.468;4.447;3.627;0.644;0.834;43.033;20.887;1615.78;3;12;0.088;125.779;2991.848;0.053;555.0;-3.249;-0.09025;36
1f73;0.505;0.674;1.179;0.842;0.337;0;0.0;0.337;2.189;2.021;0.0;0.0;17.862;0.0;1109.95;7;10;-5.572;64.348;876.393;0.35;310.0;-3.255;-0.155;21
1nwl;2.973;0.36;0.811;1.081;1.081;0;0.09;0.36;3.153;3.604;0.586;0.176;26.713;4.273;789.75;3;10;-0.238;116.184;2930.853;0.156;468.0;-3.255;-0.105;31
4u5s;0.823;0.617;0.617;1.132;0.823;0;0.206;0.0;2.469;3.292;0.277;0.562;18.424;11.855;975.38;11;11;-2.474;158.567;6402.951;0.318;601.0;-3.284;-0.076372;43
4u5o;0.0;0.369;0.738;1.106;0.615;0;0.246;0.0;2.459;2.95;0.252;0.671;14.733;14.164;793.97;7;3;0.078;89.891;1196.179;0.292;314.0;-3.3;-0.143478;23
1oba;0.0;0.0;0.608;0.304;0.0;0;0.608;0.304;0.0;0.304;0.0;0.0;0.0;0.0;73.41;1;1;-0.315;29.985;40.664;0.833;104.0;-3.332;-0.476;7
3mjl;0.0;0.365;0.73;0.365;0.365;0;0.73;0.73;0.365;0.73;0.0;0.0;0.0;0.0;232.03;3;2;-0.008;23.0;17.022;0.0;83.0;-3.332;-0.555333;6
4ddm;0.0;0.262;0.262;0.787;0.787;0;0.262;0.262;1.049;0.787;0.0;0.0;0.0;0.0;1299.8;0;4;0.055;41.745;123.039;0.0;179.0;-3.348;-0.279;12
4x8u;0.0;0.694;0.463;0.463;0.0;0;0.231;0.231;3.009;2.546;0.0;0.0;15.934;0.0;1107.42;1;2;1.185;47.639;159.033;0.0;194.5;-3.348;-0.257538;13
1utl;0.0;0.427;0.427;0.64;0.213;0;0.213;0.213;2.561;2.134;0.0;0.0;8.407;0.0;831.52;3;0;0.861;42.518;111.039;0.3;136.0;-3.364;-0.3364;10
4y4j;0.0;1.242;1.242;1.035;0.0;0;0.207;0.207;1.864;0.621;0.0;0.405;0.0;9.82;1223.86;6;3;-0.627;42.486;155.328;0.167;170.0;-3.366;-0.2805;12
1gyx;0.821;0.0;0.821;0.547;0.0;0;0.274;0.274;1.094;0.821;0.0;0.615;0.0;12.516;352.69;0;2;0.05;30.772;63.606;0.0;121.0;-3.383;-0.375889;9
4u5n;1.557;0.681;0.876;1.265;0.778;0;0.195;0.0;3.308;3.892;0.561;0.531;28.218;11.211;979.59;13;9;-2.447;168.379;7880.768;0.277;622.0;-3.383;-0.075178;45
5mn1;0.0;0.688;0.688;1.033;0.688;0;0.0;0.0;2.065;2.065;0.0;0.0;0.0;0.0;539.58;2;2;0.664;28.649;27.945;0.0;94.0;-3.383;-0.483286;7
4efk;0.0;0.0;0.257;0.515;0.772;0;0.0;0.0;1.545;1.545;0.0;0.0;0.0;0.0;2170.55;0;3;2.079;45.236;68.523;0.182;191.0;-3.402;-0.309273;11
4kz7;0.816;0.0;0.544;0.544;1.36;0;0.0;0.272;4.081;0.272;0.0;0.0;0.0;0.0;965.25;0;4;-0.142;44.952;212.609;0.0;197.0;-3.402;-0.243;14
1ai4;0.0;0.0;0.495;0.743;0.495;0;0.0;0.0;1.238;1.734;0.254;0.0;5.271;0.0;938.67;2;4;-0.61;38.483;157.139;0.0;167.0;-3.415;-0.284583;12
3g30;0.998;0.599;0.599;1.198;1.198;0;0.0;0.0;0.798;1.397;0.0;0.0;7.862;0.0;414.7;1;4;0.289;51.592;445.894;0.0;240.0;-3.42;-0.201176;17
3gr2;0.593;0.395;0.593;0.79;1.186;0;0.0;0.198;1.581;1.383;0.0;0.386;8.69;9.37;846.7;1;6;-0.052;48.554;222.493;0.067;194.0;-3.44;-0.245714;14
3mfv;0.358;2.685;0.716;1.074;0.895;0;0.537;0.537;2.864;2.148;0.0;0.348;2.988;13.571;732.8;6;4;-2.715;43.004;235.131;0.231;184.0;-3.44;-0.264615;13
3vdb;0.257;2.056;0.514;0.771;0.257;0;1.028;0.514;0.257;0.257;0.0;0.0;0.0;0.0;1027.69;4;6;-3.013;34.986;155.141;0.0;178.0;-3.434;-0.286167;12
4g0q;1.543;0.0;0.463;0.463;0.617;0;0.0;0.463;1.543;1.543;0.317;0.302;9.955;7.316;419.77;5;10;-4.115;62.733;699.502;0.045;322.0;-3.44;-0.16381;21
4urz;0.537;0.716;0.358;0.358;0.358;0;0.358;0.358;2.506;2.327;0.367;0.174;11.163;6.785;1652.91;2;5;2.051;63.648;304.126;0.0;254.0;-3.44;-0.202353;17
4hj2;3.449;0.635;0.545;0.545;0.363;0;0.0;0.272;4.266;4.266;1.992;0.586;44.693;12.611;2278.12;5;11;-3.971;135.51;4768.126;0.27;572.5;-3.45;-0.090789;38
3b3s;0.0;1.991;0.746;0.249;0.0;0;0.498;0.746;0.249;0.746;0.0;0.0;0.0;0.0;492.33;3;2;-1.607;31.138;88.645;0.625;131.0;-3.481;-0.386778;9
3ovn;0.0;0.43;0.215;0.215;0.0;0;0.215;0.215;1.722;2.152;0.08;0.0;9.761;0.0;683.44;2;2;1.351;49.611;126.926;0.0;179.0;-3.481;-0.290083;12
1gwv;0.551;0.551;0.551;0.367;0.367;0;0.734;0.551;0.734;0.184;0.0;0.501;0.0;10.575;1237.36;8;11;-5.397;68.619;962.925;0.0;342.0;-3.507;-0.152478;23
3kgp;0.0;0.612;0.408;0.612;0.0;0;0.204;0.204;2.855;2.447;0.0;0.0;14.043;0.0;571.22;3;2;-1.208;37.365;122.666;0.091;151.0;-3.507;-0.318818;11
3gvb;1.743;0.0;0.581;0.968;0.968;0;0.0;0.194;2.905;2.905;0.596;0.0;18.54;0.0;1282.92;1;5;-0.505;53.574;338.699;0.0;220.0;-3.524;-0.22025;16
4o3c;1.398;0.699;1.747;1.048;0.0;0;0.0;0.349;3.145;1.048;0.0;0.0;0.0;0.0;159.47;3;4;-4.513;21.307;82.135;0.25;132.0;-3.531;-0.392333;9
2r5a;1.136;0.325;0.0;0.162;0.649;0;0.162;0.0;1.298;0.974;0.0;0.808;0.0;16.773;238.78;5;2;-3.29;38.25;180.895;0.7;161.0;-3.548;-0.322545;11
4up5;0.0;0.389;0.389;0.389;0.0;0;0.194;0.0;3.498;1.555;0.199;0.0;15.165;0.0;134.16;2;3;1.887;50.584;116.064;0.077;180.0;-3.548;-0.295667;12
5g46;0.199;0.0;0.398;0.199;0.0;0;0.0;0.199;0.994;1.59;0.074;0.0;5.697;0.0;114.33;1;2;2.589;52.769;178.957;0.071;173.0;-3.548;-0.272923;13
3f37;0.296;0.0;0.592;0.592;0.0;0;0.0;0.0;0.296;0.889;0.0;0.0;0.0;0.0;497.81;1;1;2.009;37.581;61.019;0.0;122.0;-3.572;-0.396889;9
1ajn;0.0;0.0;0.455;0.909;0.682;0;0.0;0.0;1.364;1.818;0.233;0.0;4.838;0.0;1026.84;0;4;-0.217;41.924;207.26;0.0;180.0;-3.592;-0.276308;13
4i8x;0.678;0.169;0.508;0.847;0.339;0;0.169;0.169;1.863;1.863;0.911;0.0;20.877;0.0;834.05;0;3;1.112;54.003;278.647;0.0;198.0;-3.597;-0.2398;15
4q7w;0.0;0.0;0.545;0.818;0.545;0;0.545;0.545;0.818;0.818;0.0;0.0;0.0;0.0;595.27;1;1;1.302;39.101;51.543;0.0;141.0;-3.597;-0.399667;9
4q8y;0.0;0.229;0.458;0.916;0.687;0;0.458;0.458;1.145;1.375;0.47;0.0;8.033;0.0;589.36;1;2;2.189;50.978;130.911;0.0;179.0;-3.597;-0.29975;12
4ufl;1.072;1.072;1.072;0.804;0.536;0;0.536;0.804;0.0;0.536;0.0;0.0;0.0;0.0;316.83;5;3;-2.575;41.325;160.619;0.0;174.0;-3.597;-0.29975;12
5ey0;2.145;0.79;0.226;0.226;0.0;0;0.113;0.113;3.048;3.161;1.114;0.254;25.603;5.166;441.28;6;17;-6.721;89.948;1917.417;0.029;520.0;-3.607;-0.112719;32
3a1e;1.277;0.894;0.766;0.766;0.766;0;0.0;0.0;3.576;2.937;0.488;0.0;31.365;0.0;2519.86;4;16;-5.534;106.968;1725.639;0.03;501.0;-3.623;-0.116871;31
3lvw;2.241;1.494;0.299;0.299;0.299;0;0.149;0.149;1.344;1.793;0.263;0.408;5.768;8.607;1067.34;5;8;-5.592;64.717;852.961;0.211;306.0;-3.645;-0.18225;20
4b3c;0.0;0.0;0.0;0.262;0.525;0;0.0;0.0;1.312;1.575;0.0;0.0;0.0;0.0;266.2;2;1;1.873;39.963;71.831;0.0;133.0;-3.651;-0.3651;10
4b3d;0.0;0.0;0.0;0.253;0.506;0;0.0;0.0;1.264;1.77;0.0;0.0;0.0;0.0;199.97;1;0;2.476;43.036;73.834;0.0;131.0;-3.651;-0.3651;10
3elc;0.594;0.396;0.396;0.396;0.0;0;0.0;0.0;1.584;1.782;0.203;0.0;9.617;0.0;1817.44;5;8;-1.761;55.049;464.337;0.0;261.0;-3.674;-0.204111;18
2fzc;4.087;0.24;0.962;0.962;0.0;0;0.24;0.0;0.481;0.481;0.0;0.0;0.0;0.0;1626.33;2;10;-7.512;67.552;560.354;0.059;300.0;-3.683;-0.204611;18
2uyn;0.856;0.571;0.285;0.285;0.0;0;0.0;0.285;1.712;1.141;0.0;0.0;8.406;0.0;286.88;0;3;-1.285;20.305;37.813;0.167;101.0;-3.68;-0.525714;7
3bra;0.0;0.416;0.416;0.416;0.416;0;0.416;0.208;0.0;0.624;0.0;0.468;0.0;9.525;1416.66;4;1;0.177;39.566;100.021;0.2;138.0;-3.68;-0.368;10
1pfu;0.0;0.717;0.179;0.0;0.0;0;0.717;0.359;1.435;1.794;0.987;0.49;21.538;10.334;836.58;3;3;-3.058;45.575;77.534;0.556;184.0;-3.71;-0.371;10
5fsx;0.402;0.536;0.268;0.536;0.536;0;0.0;0.0;3.349;3.081;0.806;0.301;36.386;6.13;682.59;4;14;-3.642;79.968;1236.88;0.034;424.0;-3.71;-0.137407;27
2qwb;3.497;1.84;0.368;0.552;0.368;0;0.0;0.184;0.92;0.552;0.0;0.0;0.0;0.0;1217.11;6;10;-5.206;62.158;750.699;0.095;308.0;-3.736;-0.177905;21
2vyt;0.0;0.325;0.163;0.488;0.325;0;0.163;0.0;0.975;1.138;0.0;0.81;0.0;16.806;350.16;5;2;-3.29;38.25;180.895;0.7;161.0;-3.729;-0.339;11
4m6u;2.064;2.477;0.413;0.0;0.826;0;0.413;0.413;0.826;0.0;0.0;0.0;0.0;0.0;241.31;1;5;-4.153;16.021;52.338;0.0;118.0;-3.742;-0.46775;8
